time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-16T06:06:36.198Z,-15.6703,-71.8843,12.32,5.5,mww,,93,2.992,1.01,us,us6000h4z7,2022-05-27T14:55:19.040Z,"10 km SW of Madrigal, Peru",earthquake,8,1.3,0.045,48,reviewed,us,us
2022-03-16T04:54:08.761Z,-16.1224,-72.1049,10,4.2,mb,,142,2.799,0.78,us,us6000h4yz,2022-05-27T14:55:28.040Z,"Near the coast of southern Peru",earthquake,4.7,1.9,0.166,11,reviewed,us,us
2022-03-15T10:20:08.046Z,-15.7764,-71.9649,10,4.7,mb,,127,2.987,0.82,us,us6000h4nn,2022-08-06T08:44:43.046Z,"16 km ESE of Huambo, Peru",earthquake,7,1.9,0.065,72,reviewed,us,us
2022-03-06T13:42:31.907Z,-15.8686,-71.6525,136.99,3.9,mb,,127,2.694,0.57,us,us6000h2jf,2022-05-14T21:52:18.040Z,"23 km WSW of Huarancante, Peru",earthquake,10.8,9.1,0.23,6,reviewed,us,us
2022-02-17T04:29:55.899Z,-15.7769,-72.0496,127.7,4.1,mb,,149,3.051,0.55,us,us7000glkg,2022-04-30T14:18:21.040Z,"8 km SE of Huambo, Peru",earthquake,14.2,11.2,0.214,6,reviewed,us,us
2021-12-09T04:48:57.438Z,-15.7337,-71.841,111.17,4.4,mb,,127,2.92,0.94,us,us6000gar5,2022-02-12T23:07:07.040Z,"12 km SW of Maca, Peru",earthquake,8.1,7,0.101,28,reviewed,us,us
2021-10-12T04:00:04.908Z,-15.6788,-71.9801,10,4.9,mb,,127,3.058,0.93,us,us6000ftwb,2021-12-18T19:58:57.040Z,"11 km SSW of Tapay, Peru",earthquake,7.6,1.8,0.052,122,reviewed,us,us
2021-10-10T00:46:59.140Z,-15.8445,-72.2282,7.74,4.5,mb,,130,3.092,0.61,us,us6000ful5,2021-12-18T19:58:45.040Z,"18 km SW of Huambo, Peru",earthquake,7.2,3.9,0.181,9,reviewed,us,us
2021-10-09T23:11:00.241Z,-15.6179,-72.1907,10,4.4,mb,,94,3.255,0.77,us,us6000fte6,2021-12-18T19:58:45.040Z,"8 km SW of Choco, Peru",earthquake,7.4,1.9,0.098,30,reviewed,us,us
2021-10-09T17:55:34.113Z,-15.6636,-71.759,10,4.5,mb,,126,2.905,0.87,us,us6000ftcj,2021-12-18T19:58:43.040Z,"2 km SSE of Maca, Peru",earthquake,6.7,1.8,0.074,54,reviewed,us,us
2021-10-09T14:31:20.295Z,-15.6963,-72.2077,10,4.5,mb,,128,3.203,0.92,us,us6000ftbc,2021-12-18T19:58:43.040Z,"7 km ESE of Ayo, Peru",earthquake,10,1.9,0.106,26,reviewed,us,us
2021-10-09T13:23:26.116Z,-15.6349,-72.1418,10,4.3,mb,,128,3.207,1.29,us,us6000ftau,2021-12-18T19:58:42.040Z,"6 km S of Choco, Peru",earthquake,7.9,1.9,0.1,28,reviewed,us,us
2021-10-09T05:50:11.571Z,-15.5975,-71.6721,10,4.7,mb,,140,2.888,0.51,us,us6000ft78,2021-12-18T19:58:41.040Z,"6 km NNE of Ichupampa, Peru",earthquake,9.8,1.9,0.083,44,reviewed,us,us
2021-10-09T05:21:00.488Z,-15.6174,-71.9422,10,4.3,mb,,128,3.068,0.83,us,us6000ft6t,2021-12-18T19:58:40.040Z,"4 km S of Tapay, Peru",earthquake,7.4,2,0.147,13,reviewed,us,us
2021-10-09T04:47:49.129Z,-15.5828,-71.8421,14.16,5.7,mww,,92,3.018,1.27,us,us6000ft6j,2021-12-18T19:58:40.040Z,"4 km NW of Madrigal, Peru",earthquake,7,3,0.04,61,reviewed,us,us
2021-10-08T09:27:59.659Z,-15.9732,-72.1475,10,4.2,mb,,174,2.943,0.91,us,us6000fsxb,2021-12-18T19:58:38.040Z,"14 km WNW of Lluta, Peru",earthquake,10.7,2,0.158,11,reviewed,us,us
2021-09-19T03:21:29.550Z,-15.7528,-72.0576,10,4.6,mb,,133,3.072,1.02,us,us7000fcjr,2021-12-03T15:01:31.040Z,"5 km ESE of Huambo, Peru",earthquake,13.1,1.9,0.085,45,reviewed,us,us
2021-09-04T09:07:30.833Z,-15.8466,-72.0427,17.16,4.3,mb,,129,2.991,0.56,us,us7000f7v6,2021-11-17T17:20:46.040Z,"14 km SSE of Huambo, Peru",earthquake,7.1,5.8,0.122,19,reviewed,us,us
2021-07-25T22:45:29.971Z,-16.0179,-71.7987,166.41,4.1,mb,,131,2.715,0.46,us,us6000ez14,2021-10-03T05:22:02.040Z,"23 km E of Lluta, Peru",earthquake,9.8,21,0.37,2,reviewed,us,us
2021-07-20T15:42:34.539Z,-15.5874,-72.1546,124.83,4.1,mb,,135,3.246,0.59,us,us7000enqu,2021-09-25T21:08:19.040Z,"2 km WSW of Choco, Peru",earthquake,10.4,20.6,0.3,3,reviewed,us,us
2021-07-11T14:46:28.992Z,-15.611,-71.5391,125.79,4.7,mb,,145,2.787,0.74,us,us6000eue9,2021-09-17T22:49:38.040Z,"7 km ENE of Chivay, Peru",earthquake,9.3,3.4,0.049,126,reviewed,us,us
2021-06-24T23:02:56.820Z,-15.5729,-72.0706,134.46,4.3,mb,,130,3.192,1.22,us,us6000eqvt,2021-08-27T18:59:00.040Z,"6 km E of Choco, Peru",earthquake,3.9,14.1,0.188,8,reviewed,us,us
2021-04-18T04:55:29.621Z,-15.8799,-72.2021,10,4.1,mb,,162,3.049,0.85,us,us6000e2jd,2021-07-03T16:48:04.040Z,"19 km SSW of Huambo, Peru",earthquake,7.2,1.9,0.234,5,reviewed,us,us
2021-03-26T05:19:33.747Z,-15.7487,-71.5275,149.96,4.4,mb,,210,2.683,1.06,us,us6000dwkn,2021-06-08T17:58:30.040Z,"7 km WNW of Huarancante, Peru",earthquake,13,9.2,0.126,18,reviewed,us,us
2021-02-10T03:10:34.812Z,-15.5175,-71.7284,143.06,4.2,mb,,125,2.982,0.97,us,us6000dg3s,2021-04-22T21:52:15.040Z,"13 km NE of Madrigal, Peru",earthquake,9.1,7.6,0.102,27,reviewed,us,us
2020-12-20T16:36:49.724Z,-15.4757,-71.7612,112.91,4.6,mb,,147,3.183,0.58,us,us6000d284,2021-02-27T23:24:06.040Z,"15 km NNE of Madrigal, Peru",earthquake,8.3,8.7,0.223,9,reviewed,us,us
2020-08-14T20:34:35.468Z,-15.7132,-72.1145,10,5,mww,,74,3.14,0.88,us,us6000beyh,2022-08-08T23:56:40.278Z,"2 km NNW of Huambo, Peru",earthquake,7.9,1.8,0.093,11,reviewed,us,us
2020-06-29T02:42:27.864Z,-15.9797,-71.8308,120.03,4.4,mb,,133,2.762,1.34,us,us7000ae0p,2020-09-05T17:35:31.040Z,"20 km E of Lluta, Peru",earthquake,10.2,7.4,0.098,30,reviewed,us,us
2020-04-29T04:38:35.607Z,-16.2065,-71.8499,293.51,4.3,mb,,142,2.8,0.87,us,us70009afq,2020-07-18T21:57:37.040Z,"18 km WNW of Yura, Peru",earthquake,11.4,9.8,0.237,5,reviewed,us,us
2020-04-17T08:15:46.353Z,-15.4357,-72.0479,118.47,4.2,mb,,145,3.264,1.08,us,us70008yae,2020-07-09T14:31:18.040Z,"17 km NNE of Choco, Peru",earthquake,11.8,9.3,0.153,12,reviewed,us,us
2020-04-13T21:38:46.629Z,-15.8021,-71.8461,67.42,4.3,mb,,127,2.881,1.33,us,us700090hq,2020-06-30T14:03:17.040Z,"19 km SSW of Maca, Peru",earthquake,10.1,7.7,0.218,6,reviewed,us,us
2019-12-09T15:43:43.631Z,-15.6417,-71.6791,133.55,4.8,mb,,125,2.863,1.14,us,us60006p89,2020-02-29T19:52:43.040Z,"1 km NE of Ichupampa, Peru",earthquake,7.6,7,0.076,64,reviewed,us,us
2019-12-01T01:34:15.596Z,-15.8821,-72.1949,114.69,4.2,mb,,141,3.043,1.01,us,us70006ewr,2020-02-19T18:58:26.040Z,"19 km SSW of Huambo, Peru",earthquake,4.7,10.9,0.186,8,reviewed,us,us
2019-06-04T02:04:15.800Z,-15.7796,-71.5716,90.81,4.2,mb,,176,2.694,0.71,us,us70003yh5,2019-08-27T17:47:25.040Z,"12 km W of Huarancante, Peru",earthquake,11.6,10.3,0.141,14,reviewed,us,us
2019-05-26T23:42:19.238Z,-16.0473,-72.1059,12.55,4.3,mwr,,131,2.86,0.99,us,us70003v9y,2019-08-13T14:30:51.040Z,"10 km WSW of Lluta, Peru",earthquake,7.7,7,0.086,13,reviewed,us,us
2019-05-21T13:37:39.241Z,-15.8258,-72.0107,8.33,4.9,mww,,147,2.992,0.7,us,us70003nxk,2019-08-13T14:30:46.040Z,"14 km SE of Huambo, Peru",earthquake,7.7,4.9,0.066,22,reviewed,us,us
2019-05-21T12:55:31.213Z,-15.7813,-72.0183,10,4.7,mb,,136,3.025,0.78,us,us70003nx8,2019-08-13T14:30:46.040Z,"11 km ESE of Huambo, Peru",earthquake,9.2,1.8,0.046,142,reviewed,us,us
2019-01-13T16:53:11.960Z,-15.8636,-71.9032,117.72,4.3,mb,,129,2.887,1.26,us,us2000j3jc,2019-04-02T20:52:43.040Z,"20 km NE of Lluta, Peru",earthquake,9.4,16.1,0.116,21,reviewed,us,us
2018-10-24T07:37:44.400Z,-15.3862,-72.0527,102.4,4.4,mb,,126,3.3,1.06,us,us1000hgew,2019-01-10T17:18:35.040Z,"22 km NNE of Choco, Peru",earthquake,8.9,8.8,0.063,72,reviewed,us,us
2018-10-05T14:32:48.560Z,-15.9882,-71.8717,114.88,4.4,mb,,149,2.784,1.26,us,us1000hanc,2018-12-14T20:32:46.040Z,"16 km W of Lluta, Peru",earthquake,10.9,9,0.143,14,reviewed,us,us
2018-08-20T06:13:17.200Z,-15.6147,-71.9994,10,4.5,mb,,126,3.113,0.93,us,us1000gdqr,2022-08-08T07:19:55.852Z,"7 km WSW of Tapay, Peru",earthquake,7.8,1.9,0.085,41,reviewed,us,us
2018-07-22T16:27:41.960Z,-15.5656,-72.0332,104.92,4.3,mb,,127,3.225,1.05,us,us2000geks,2018-10-04T14:15:23.040Z,"10 km W of Tapay, Peru",earthquake,7.9,6.9,0.153,12,reviewed,us,us
2018-04-06T11:33:16.830Z,-15.7898,-72.1325,99.84,4.2,mb,,129,3.295,1.04,us,us2000dvg8,2018-06-30T01:11:30.040Z,"7 km SSW of Huambo, Peru",earthquake,4.4,11,0.158,11,reviewed,us,us
2017-12-05T04:25:27.740Z,-15.7794,-71.7389,141.68,4.4,mb,,142,2.815,0.9,us,us1000bm9q,2018-02-28T02:32:26.040Z,"15 km SSW of Ichupampa, Peru",earthquake,3.9,8.9,0.126,18,reviewed,us,us
2017-11-12T12:10:30.440Z,-16.1139,-72.1176,95.33,4.2,mb,,131,2.813,0.88,us,us2000bm9n,2018-02-06T02:45:29.040Z,"15 km SW of Lluta, Peru",earthquake,8.3,5.9,0.137,15,reviewed,us,us
2017-05-02T14:54:35.620Z,-15.6117,-72.0972,11.15,4.5,mb,,190,3.188,0.57,us,us10008qrc,2017-07-29T03:16:16.040Z,"5 km SE of Choco, Peru",earthquake,14,5.7,0.384,2,reviewed,us,us
2017-04-30T15:11:48.480Z,-15.6131,-71.7025,10,4.4,mb,,189,3.26,0.7,us,us10008m92,2017-07-29T03:16:08.040Z,"4 km NNW of Ichupampa, Peru",earthquake,5.2,2,0.24,5,reviewed,us,us
2017-04-30T14:50:50.840Z,-15.716,-71.9799,10,4.6,mb,,145,3.07,0.76,us,us10008m80,2017-07-29T03:16:08.040Z,"13 km E of Huambo, Peru",earthquake,9.3,1.9,0.125,19,reviewed,us,us
2017-04-30T13:29:10.010Z,-15.7425,-71.8941,10,5.1,mww,,100,3.005,0.67,us,us10008m7l,2022-05-03T18:25:34.962Z,"17 km SW of Maca, Peru",earthquake,7.9,1.8,0.066,22,reviewed,us,us
2017-02-24T03:11:41.310Z,-15.8273,-71.6347,142.04,4.9,mb,,126,2.708,0.91,us,us20008lxn,2017-05-17T01:19:37.040Z,"19 km WSW of Huarancante, Peru",earthquake,7.5,5.5,0.058,94,reviewed,us,us
2017-01-10T04:53:55.100Z,-15.7257,-72.1102,3.9,4.5,mwr,,142,3.127,0.89,us,us10007s94,2017-04-01T00:26:07.040Z,"0 km NNW of Huambo, Peru",earthquake,7,6.2,0.069,20,reviewed,us,us
2016-09-09T05:52:30.320Z,-15.6439,-71.6715,10.71,4.1,mb,,160,2.995,0.92,us,us10006v3x,2016-12-07T02:56:07.040Z,"southern Peru",earthquake,12,5,0.368,2,reviewed,us,us
2016-08-15T02:59:00.840Z,-15.6542,-72.0092,20,5.5,mwb,,95,3.095,0.85,us,us10006du3,2022-05-03T17:57:27.230Z,"11 km SW of Tapay, Peru",earthquake,7.7,1.8,0.058,29,reviewed,us,us
2016-05-04T22:39:33.720Z,-15.8561,-71.6086,140.68,4.1,mb,,126,2.778,0.72,us,us10005dxp,2016-07-19T20:03:13.040Z,"18 km WSW of Huarancante, Peru",earthquake,4.5,10.6,0.12,19,reviewed,us,us
2016-04-13T02:48:43.160Z,-15.7491,-71.8661,114.03,4.1,mb,,144,2.987,1.24,us,us20005hnv,2016-06-21T01:14:10.040Z,"15 km SW of Maca, Peru",earthquake,8.3,6.8,0.117,20,reviewed,us,us
2016-02-28T14:50:51.000Z,-15.78,-71.77,12,4.3,mb,,,,1.25,us,us10004tdg,2016-05-06T23:34:17.040Z,"15 km S of Maca, Peru",earthquake,8.7,4.9,0.308,3,reviewed,lim,us
2016-02-24T18:01:50.000Z,-15.71,-71.75,11,4.1,ml,,,,1.39,us,us20005bwf,2016-05-03T23:44:20.040Z,"7 km SSE of Maca, Peru",earthquake,8.4,9.4,,,reviewed,lim,lim
2016-02-22T20:29:35.000Z,-15.71,-71.8,6,4.8,mb,,,,0.87,us,us10004rtm,2016-11-10T22:13:36.672Z,"8 km SSW of Maca, Peru",earthquake,3.4,3.6,0.063,77,reviewed,lim,us
2016-02-20T02:05:50.020Z,-15.72,-71.821,10,5,mb,,126,2.991,0.99,us,us10004r90,2022-05-03T17:41:09.817Z,"10 km SSW of Maca, Peru",earthquake,2.3,1.8,0.045,158,reviewed,us,us
2016-02-20T00:40:09.940Z,-15.8849,-71.6839,30.95,4.4,mb,,129,2.785,1.15,us,us10004s34,2016-05-03T23:44:12.040Z,"26 km S of Ichupampa, Peru",earthquake,5.3,7,0.189,8,reviewed,us,us
2016-01-14T06:05:49.000Z,-16.1,-71.98,12,4.1,ml,,,,1.38,us,us20004zgl,2016-03-30T02:27:59.040Z,"10 km SSE of Lluta, Peru",earthquake,15,9.8,,,reviewed,lim,lim
2015-12-30T16:18:51.410Z,-15.9169,-72.0644,137.54,4.3,mb,,181,2.944,0.94,us,us10004afc,2016-03-18T01:13:08.040Z,"12 km NNW of Lluta, Peru",earthquake,12.7,17.8,0.217,6,reviewed,us,us
2015-12-08T20:47:09.040Z,-15.7975,-71.808,23.59,4.7,mwr,,74,2.918,1.02,us,us20004fn4,2022-08-01T22:33:02.341Z,"17 km SSW of Maca, Peru",earthquake,3.2,4.2,0.073,18,reviewed,us,us
2015-12-08T19:54:17.950Z,-15.8335,-72.2281,22.11,4.7,mb,,107,3.101,1.05,us,us20004fze,2016-03-02T03:36:39.040Z,"17 km SW of Huambo, Peru",earthquake,9,5.4,0.106,30,reviewed,us,us
2015-12-08T19:54:00.770Z,-15.7553,-72.1432,35,4.2,mb,,141,3.119,1.29,us,us20004fmz,2016-03-02T03:36:39.040Z,"4 km SW of Huambo, Peru",earthquake,8.9,2,0.096,31,reviewed,us,us
2015-11-25T03:12:29.230Z,-15.6412,-71.9348,28.49,4.6,mb,,126,3.112,0.76,us,us10004153,2016-02-18T04:48:54.040Z,"7 km S of Tapay, Peru",earthquake,7.6,5.6,0.083,43,reviewed,us,us
2015-11-17T14:04:33.960Z,-15.9733,-72.2268,86.77,4.3,mb,,170,3.191,0.46,us,us10003zl6,2016-02-13T02:08:27.040Z,"23 km WNW of Lluta, Peru",earthquake,14.2,14.7,0.266,4,reviewed,us,us
2015-11-14T19:33:04.460Z,-15.4432,-71.7253,131.87,4.3,mb,,124,3.198,0.93,us,us10003ye0,2016-02-13T02:08:21.040Z,"20 km NNE of Madrigal, Peru",earthquake,4.3,9.8,0.142,14,reviewed,us,us
2015-11-12T19:49:21.240Z,-16.0641,-72.0127,92.31,4.5,mb,,123,2.795,0.73,us,us10003xwf,2022-08-01T17:34:50.040Z,"5 km S of Lluta, Peru",earthquake,8.8,6,0.076,51,reviewed,us,us
2015-10-01T19:42:47.180Z,-15.7239,-72.0935,30.24,4.9,mb,,123,3.12,1.03,us,us10003jkl,2022-08-01T08:50:00.862Z,"1 km ENE of Huambo, Peru",earthquake,8.9,4.7,0.04,193,reviewed,us,us
2015-09-30T04:08:33.220Z,-15.7756,-72.1232,10,4.4,mb,,129,3.092,0.65,us,us10003j1y,2015-12-28T23:08:51.040Z,"5 km SSW of Huambo, Peru",earthquake,5.5,1.7,0.191,8,reviewed,us,us
2015-08-29T06:43:46.540Z,-15.7212,-72.0546,49.54,4.4,mb,,159,3.102,0.63,us,us20003m5f,2015-12-01T00:36:02.040Z,"5 km E of Huambo, Peru",earthquake,8.6,14.3,0.24,5,reviewed,us,us
2015-08-28T04:11:51.900Z,-15.823,-71.8124,9.28,4.9,mb,,91,2.897,0.98,us,us100035lv,2022-08-01T02:15:48.684Z,"20 km SSW of Maca, Peru",earthquake,7,3.1,0.032,307,reviewed,us,us
2015-06-21T04:14:11.470Z,-15.9381,-71.455,132.95,4.1,mb,,127,2.642,0.75,us,us10002kmi,2015-09-01T00:53:52.040Z,"4 km N of Pucara, Peru",earthquake,9.1,7.9,0.135,15,reviewed,us,us
2015-06-12T17:52:05.800Z,-15.7618,-71.9126,9.18,3.9,mwr,,91,2.998,0.9,us,us10002ldi,2015-08-20T00:43:55.040Z,"20 km SSW of Madrigal, Peru",earthquake,5.7,4.7,0.089,12,reviewed,us,us
2015-04-18T03:33:58.170Z,-15.7575,-72.2501,127.24,4.4,mb,,119,3.175,0.87,us,us200027hy,2015-06-26T23:15:55.040Z,"8 km SSE of Ayo, Peru",earthquake,4.8,7.4,0.11,24,reviewed,us,us
2015-03-10T22:42:59.000Z,-15.63,-72.01,12,4.2,mb,,,,0.89,us,us10001m4e,2015-05-28T00:48:41.040Z,"9 km SW of Tapay, Peru",earthquake,12.2,8.5,0.216,6,reviewed,lim,us
2015-03-02T09:55:48.000Z,-15.68,-72.01,11,3.9,ml,,,,1.37,us,usc000tviw,2015-05-19T00:29:37.040Z,"11 km ENE of Huambo, Peru",earthquake,10.2,6,,,reviewed,lim,lim
2015-02-28T20:10:24.000Z,-15.7,-71.99,12,4.8,mb,,,,1.1,us,usc000tu1j,2020-07-10T19:21:08.273Z,"13 km ENE of Huambo, Peru",earthquake,9.6,3.9,0.091,37,reviewed,lim,us
2014-10-13T02:31:44.460Z,-15.6344,-71.4674,149.38,4.7,mb,,88,2.926,1.32,us,usb000slg9,2015-01-06T23:49:54.040Z,"14 km SE of Tuti, Peru",earthquake,8.6,6.8,0.059,89,reviewed,us,us
2014-07-14T17:13:12.990Z,-15.5967,-72.0182,10,3.6,ml,,156,3.19,0.96,us,usb000rwud,2014-10-10T08:02:18.000Z,"8 km WSW of Tapay, Peru",earthquake,,2,,,reviewed,us,lim
2014-01-18T05:54:20.360Z,-15.4804,-71.8199,114.1,4.6,mb,,88,3.639,1.02,us,usb000m3kt,2014-03-22T00:05:20.000Z,"14 km N of Madrigal, Peru",earthquake,,3.6,0.054,114,reviewed,us,us
2013-12-19T17:35:24.000Z,-15.63,-71.96,129,4.4,mb,,,,1.98,us,usc000lne4,2014-02-27T21:37:22.000Z,"6 km SSW of Tapay, Peru",earthquake,,6.4,0.309,,reviewed,lim,us
2013-11-01T01:25:28.650Z,-15.5055,-72.1078,124.47,4.1,mb,,129,3.905,1.27,us,usb000kye0,2014-01-10T10:03:40.000Z,"8 km NNE of Choco, Peru",earthquake,,9.5,0.369,,reviewed,us,us
2013-10-29T12:51:05.310Z,-15.4358,-71.7232,130.53,5,mb,,59,3.559,0.86,us,usc000kqmq,2014-01-10T10:03:35.000Z,"21 km NNE of Madrigal, Peru",earthquake,,4.5,0.035,,reviewed,us,us
2013-10-27T05:28:23.780Z,-15.8829,-72.155,20.45,4.1,mb,,147,3.889,1.22,us,usc000ks68,2014-01-03T00:32:55.000Z,"17 km SSW of Huambo, Peru",earthquake,,7.1,0.213,,reviewed,us,us
2013-09-02T03:03:49.970Z,-15.6722,-71.6886,143.76,4.5,mb,,128,3.476,1.49,us,usb000jey7,2013-11-06T01:33:40.000Z,"2 km S of Ichupampa, Peru",earthquake,,7.3,0.242,,reviewed,us,us
2013-09-01T19:51:18.310Z,-15.7466,-72.2537,119.55,4,ml,,239,4.001,0.46,us,usb000jk5x,2013-11-06T01:33:39.000Z,"7 km SSE of Ayo, Peru",earthquake,,29.3,,,reviewed,us,us_lim
2013-08-11T00:31:12.550Z,-15.9642,-71.8085,25.93,4.6,mb,,131,3.549,1.05,us,usb000j7mf,2013-10-12T21:32:34.000Z,"22 km ENE of Lluta, Peru",earthquake,,5.2,0.141,,reviewed,us,us
2013-07-25T02:07:20.750Z,-15.825,-72.005,18.8,4.7,mb,57,63,,1.12,us,usc000ineu,2014-11-07T01:51:20.121Z,"15 km SE of Huambo, Peru",earthquake,,3.5,,55,reviewed,us,us
